tracking_id	root_0	root_1	root_2	root_3
Zosma105g00510	44.5596	38.8188	71.7871	53.749
Zosma105g00520	41.8993	52.2561	70.0779	40.7189
Zosma105g00530	29.9281	32.8467	8.54608	5.70065
Zosma105g00540	51.2103	38.8188	21.3652	5.70065
Zosma105g00570	111.066	126.161	88.8792	70.8509
Zosma105g00580	39.9041	21.6489	393.12	36.647
Zosma105g00610	214.152	181.403	56.4041	65.9646
Zosma105g00620	217.477	175.431	55.5495	40.7189
Zosma105g00630	504.787	500.165	99.1345	135.187
Zosma105g00640	113.727	115.71	11.9645	10.5869
Zosma105g00650	389.065	416.556	615.318	532.603
Zosma105g00660	112.397	97.047	132.464	90.396
Zosma105g00670	377.759	357.581	223.053	298.877
Zosma105g00680	208.831	199.32	222.198	268.745
Zosma105g00690	613.193	604.678	703.342	663.718
Zosma105g00700	651.767	491.954	324.751	473.154
Zosma105g00720	683.025	662.159	457.215	682.449
Zosma105g00750	174.913	187.375	238.436	189.75
Zosma105g00760	127.028	129.147	146.993	118.899
Zosma105g00770	790.101	879.395	1551.97	1101.04
Zosma106g00100	192.87	181.403	146.993	155.546
Zosma106g00110	365.123	388.188	845.207	587.167
Zosma106g00120	542.031	524.054	129.9	182.421
Zosma106g00130	1085.39	1170.54	1999.78	1623.87
Zosma106g00140	71.1623	67.1864	20.5106	13.0301
Zosma106g00150	115.057	108.245	140.156	127.043
Zosma106g00160	307.927	274.718	5.98226	258.972
Zosma106g00170	56.5308	98.54	270.056	206.852
Zosma106g00180	3981.76	3368.28	981.945	1223.2
Zosma106g00200	677.705	696.499	552.931	694.665
Zosma106g00210	95.7699	81.3702	174.34	162.876
Zosma106g00240	2440.8	1781.93	6695.85	10225.3
Zosma106g00250	144.32	203.052	130.755	136.001
Zosma106g00260	237.429	256.055	354.662	304.577
Zosma106g00270	330.539	317.269	224.762	211.738
Zosma106g00300	349.161	321.748	78.6239	294.805
Zosma106g00310	575.949	362.807	10.2553	96.0966
Zosma106g00330	742.881	720.387	596.516	978.883
Zosma106g00350	71.1623	57.4817	23.0744	30.132
Zosma106g00360	44.5596	44.0444	15.3829	18.7307
Zosma106g00370	17.2918	22.3955	94.8615	46.4196
Zosma106g00380	494.811	447.163	418.758	254.086
Zosma106g00410	189.545	147.81	2.56382	6.51503
Zosma106g00420	6.65068	8.95819	516.183	104.24
Zosma106g00430	700.982	627.819	508.492	799.719
Zosma106g00440	1224.39	1244.44	1531.46	1228.08
Zosma106g00450	178.903	147.064	81.1878	145.774
Zosma106g00460	699.652	609.903	198.269	416.147
Zosma106g00470	3572.08	2613.55	39.312	2692.33
Zosma106g00490	303.271	559.14	232.453	548.891
Zosma106g00510	327.214	401.625	229.035	157.175
Zosma106g00520	119.712	100.033	31.6205	37.4614
Zosma106g00530	26.6027	24.635	3.41843	61.0784
Zosma106g00540	442.271	621.101	2124.56	1851.08
Zosma106g00560	38.574	51.5096	8.54608	0.814378
Zosma106g00570	37.9089	36.5793	0.854608	1.62876
Zosma106g00590	93.1096	103.766	37.6028	87.1385
Zosma106g00600	839.981	708.443	274.329	602.64
Zosma106g00620	65.8418	139.598	224.762	173.463
Zosma106g00630	726.92	613.636	399.957	304.577
Zosma106g00670	248.071	139.598	2.56382	289.104
Zosma106g00680	26.6027	20.9024	0	34.2039
Zosma106g00690	296.621	344.89	0.854608	333.081
Zosma106g00710	156.291	69.4259	0	17.9163
Zosma1077g00010	188.879	164.233	198.269	149.846
Zosma1077g00020	26.6027	17.1699	1.70922	2.44313
Zosma107g00010	981.641	742.783	213.652	921.876
Zosma107g00020	64.5116	76.1446	5.12765	121.342
Zosma107g00030	79.8082	78.3841	3.41843	130.301
Zosma107g00050	200.851	189.615	152.12	178.349
Zosma107g00070	2495.34	2219.39	1166.54	2316.09
Zosma107g00080	492.816	487.475	487.981	579.837
Zosma107g00110	554.667	476.277	191.432	259.787
Zosma107g00120	1290.9	1243.69	5252.42	3178.52
Zosma107g00150	679.7	698.738	799.913	912.918
Zosma107g00160	32.5884	36.5793	63.241	48.8627
Zosma107g00170	119.712	95.554	99.1345	157.175
Zosma107g00210	348.496	394.16	361.499	348.554
Zosma107g00220	52.5404	81.3702	114.517	114.827
Zosma107g00250	3383.2	2173.85	3433.82	874.642
Zosma107g00260	172.253	160.501	110.244	207.666
Zosma107g00270	328.544	323.241	0	0
Zosma107g00310	298.616	301.592	0	0
Zosma107g00330	337.855	232.166	40.1666	97.7254
Zosma107g00340	247.405	186.629	0.854608	285.032
Zosma107g00350	598.562	591.987	842.644	777.731
Zosma107g00360	214.152	225.448	276.038	206.038
