tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma172g00220	19.7327	32.7926	13.6208	27.2925	45.7404	42.01
Zosma172g00270	476.986	571.528	514.972	447.727	497.336	574.137
Zosma172g00280	869.598	698.013	815.678	705.056	395.691	637.485
Zosma172g00290	70.0849	83.7381	89.5831	81.8775	53.7268	78.6854
Zosma172g00310	1392.85	1349.77	1686.89	1879.93	1586.39	1054.92
Zosma172g00320	173.511	412.249	103.728	53.2854	185.866	507.454
Zosma172g00330	234.07	298.647	301.754	386.644	250.483	343.415
Zosma172g00370	571.566	545.762	629.701	576.392	362.293	502.12
Zosma172g00390	386.488	502.429	379.811	348.304	468.295	442.772
Zosma172g00400	90.498	63.8284	83.8205	100.722	103.823	76.6849
Zosma172g00410	779.78	590.266	508.685	463.972	766.696	710.169
Zosma172g00420	259.246	485.447	264.034	302.817	556.145	538.128
Zosma172g00430	743.717	486.618	576.79	544.55	522.747	625.482
Zosma172g00440	1306.44	160.449	71.7713	111.119	87.1246	52.6792
Zosma172g00450	762.089	1272.47	831.918	291.77	890.849	1203.62
Zosma172g00460	695.406	2464.71	659.562	488.016	1792.59	2067.16
Zosma172g00470	4069.01	5492.17	4184.74	4381.75	6744.17	5974.76
Zosma172g00480	232.029	342.565	200.121	387.943	352.128	316.742
Zosma172g00490	1293.51	945.128	1348.99	1032.57	1302.51	976.899
Zosma172g00500	203.45	290.448	244.127	292.42	258.47	240.057
Zosma173g00010	1083.25	1447.56	1157.25	1550.47	1173.28	1711.74
Zosma173g00040	831.493	276.394	1269.88	358.701	420.376	235.389
Zosma173g00060	621.919	343.151	609.27	614.081	363.745	477.447
Zosma173g00070	147.655	76.7112	53.4355	46.7871	110.358	56.0133
Zosma173g00080	3036.79	445.627	1997.02	681.013	332.525	363.42
Zosma173g00090	4946.77	5284.29	5491.81	4103.62	4305.41	6974.99
Zosma173g00100	144.252	140.54	141.447	185.849	185.866	146.702
Zosma173g00110	288.505	401.123	304.897	395.091	482.089	382.091
Zosma173g00120	853.948	737.833	853.921	843.468	548.885	785.52
Zosma173g00130	525.977	504.771	435.866	567.944	430.541	559.467
Zosma173g00150	78.9306	0.585581	1.04776	1.29964	3.63019	0
Zosma173g00160	915.187	1206.88	934.074	920.147	1381.65	1171.61
Zosma173g00170	979.148	667.563	804.152	875.959	954.014	733.508
