tracking_id	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5
Zosma15g01110	27.9952	22.5891	62.2845	58.8492	60.4112	58.0064	212.623
Zosma15g01120	482.505	948.742	289.695	387.424	231.848	550.277	588.541
Zosma15g01140	181.145	185.231	234.653	223.954	210.623	167.748	268.756
Zosma15g01150	749.283	1287.58	767.692	747.058	690.647	884.205	683.796
Zosma15g01160	816.801	935.188	982.067	1028.23	893.106	1015.9	782.453
Zosma15g01170	307.947	478.889	446.131	457.716	434.307	475.025	193.912
Zosma15g01180	159.737	117.463	276.659	263.187	277.565	200.671	295.971
Zosma15g01190	222.315	239.444	238.999	277.899	204.092	271.219	248.344
Zosma15g01200	11.5274	9.03564	31.8665	22.8858	45.7166	14.1097	183.706
Zosma15g01240	276.658	239.444	435.991	655.515	388.591	754.083	100.358
Zosma15g01250	938.662	1450.22	599.669	925.24	672.686	1044.11	164.996
Zosma15g01260	149.857	72.2851	188.302	256.648	197.561	181.858	113.966
Zosma15g01270	1485.39	1301.13	1671.54	1311.03	1242.51	1617.91	801.164
Zosma15g01280	332.649	36.1425	240.447	313.862	256.339	192.832	59.5345
Zosma15g01290	69.1646	36.1425	114.43	107.89	127.353	101.903	103.76
Zosma15g01300	256.897	207.82	320.113	233.762	316.75	233.593	246.643
Zosma15g01310	1880.62	2136.93	3343.08	2463.49	2999.33	2417.45	4638.59
Zosma15g01320	100.453	67.7673	126.017	125.872	94.6986	58.0064	132.677
Zosma15g01330	816.801	754.476	982.067	995.533	901.269	1169.53	437.153
Zosma15g01340	64.2243	67.7673	94.1509	94.8126	75.1058	73.6837	22.1128
Zosma15g01350	51.0501	9.03564	31.8665	240.301	55.513	95.6321	117.368
Zosma15g01360	1.64678	13.5535	4.34543	13.0776	3.26547	3.13548	40.8236
Zosma15g01370	70.8114	0	24.6241	19.6164	11.4291	20.3806	39.1227
Zosma15g01380	240.429	234.927	533.039	748.693	253.074	735.27	83.3483
Zosma15g01390	181.145	72.2851	123.12	134.045	66.9421	126.987	64.6374
Zosma15g01400	729.522	890.01	757.553	725.807	656.359	818.36	600.448
Zosma15g01410	294.773	289.14	133.26	163.47	117.557	147.367	408.236
Zosma15g01430	245.37	501.478	202.787	191.26	168.172	170.884	343.599
Zosma15g01440	227.255	131.017	194.096	204.338	199.194	202.238	233.035
Zosma15g01450	223.962	153.606	207.132	122.603	266.136	128.555	828.38
Zosma15g01460	179.499	117.463	140.502	186.356	155.11	147.367	617.458
Zosma15g01470	27.9952	36.1425	72.4238	11.4429	35.9202	20.3806	37.4217
Zosma15g01480	4566.51	1499.92	1407.92	1309.4	1348.64	1412.53	2112.62
Zosma15g01490	3.29355	40.6604	20.2787	26.1552	44.0838	10.9742	214.324
