tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma4g01290	1.41714	358.363	0.906264	343.944	0.997406	16.973
Zosma4g01300	1.41714	661.058	0.906264	776.126	0	1.13153
Zosma4g01330	911.219	386.777	790.262	576.242	862.756	953.884
Zosma4g01340	96.3653	320.671	68.876	106.245	97.7458	93.9174
Zosma4g01360	308.936	470.279	519.289	503.311	317.175	409.616
Zosma4g01370	362.787	218.033	376.099	394.366	418.911	571.425
Zosma4g01380	460.57	148.448	368.849	236.799	449.83	402.826
Zosma4g01390	738.328	530.586	652.51	1009.32	798.922	1048.93
Zosma4g01400	134.628	77.1234	83.3763	72.9306	108.717	78.0759
Zosma4g01410	352.867	454.622	387.881	345.745	308.199	263.648
Zosma4g01420	4.25141	92.78	1.81253	177.374	1.99481	2.26307
Zosma4g01430	134.628	400.114	114.189	279.117	84.7795	176.519
Zosma4g01440	1767.17	385.617	2108.88	748.214	2050.67	1550.2
Zosma4g01450	48.1827	13.3371	53.4696	11.7049	32.9144	48.656
Zosma4g01460	1743.08	1729.19	1827.93	2036.65	1310.59	2678.34
Zosma4g01470	606.535	835.6	628.947	826.547	591.462	1261.66
Zosma4g01480	450.65	1035.08	596.321	1038.14	514.662	1205.08
Zosma4g01490	75.1083	721.945	174.909	657.276	50.8677	795.469
Zosma4g01500	2.83427	34.2126	0	20.7087	0.997406	3.3946
Zosma4g01510	664.637	844.878	670.635	756.317	709.156	1782.17
Zosma4g01520	1959.9	399.534	3201.83	856.259	1363.45	2239.31
Zosma4g01530	11.3371	138.59	19.9378	49.5208	20.9455	13.5784
Zosma4g01540	340.113	284.139	328.974	308.83	289.248	237.622
Zosma4g01580	242.33	320.091	312.661	361.052	288.25	445.825
Zosma4g01590	393.964	148.448	383.35	207.087	404.947	384.722
Zosma4g01600	62.354	51.029	95.1577	76.5321	77.7977	65.629
Zosma4g01640	8.50282	124.673	11.7814	47.72	3.98962	53.1821
Zosma4g01660	0	103.798	0	114.348	0	11.3153
Zosma4g01670	7.08569	643.662	16.3127	730.206	8.97666	199.15
Zosma4g01680	198.399	203.536	221.128	154.865	173.549	179.914
Zosma4g01690	790.762	505.071	763.074	525.821	1081.19	419.799
Zosma4g01700	110.537	244.707	193.034	83.7351	200.479	113.153
Zosma4g01710	119.04	91.0404	113.283	55.8234	124.676	59.9713
Zosma4g01720	1251.33	770.074	1700.15	1063.35	1625.77	2452.04
Zosma4g01730	402.467	329.949	515.664	419.576	517.654	571.425
Zosma4g01740	929.642	616.407	1271.49	962.504	657.291	2706.63
Zosma4g01750	2216.4	484.196	2528.48	1167.79	2091.56	1134.93
Zosma4g01760	2107.28	245.867	2455.07	783.329	2154.4	3128.69
Zosma4g01770	2746.41	3706.56	2489.51	3935.55	2245.16	3686.54
Zosma4g01780	1052.93	138.01	1077.55	300.726	935.567	650.632
Zosma4g01790	624.957	355.464	696.01	569.039	746.06	880.334
Zosma4g01800	62.354	218.613	222.035	100.842	57.8496	260.253
Zosma4g01810	11.3371	52.7686	9.9689	56.7238	9.97406	12.4469
Zosma4g01820	459.152	460.421	393.318	506.913	499.7	710.604
Zosma4g01830	565.438	686.572	530.164	860.761	638.34	345.118
Zosma4g01840	151.634	224.992	167.659	145.861	192.499	161.809
Zosma4g01850	1152.13	427.948	1189.02	831.949	761.021	1232.24
Zosma4g01870	31.177	8.11825	18.1253	0	38.8988	0
Zosma4g01880	9127.78	472.598	7229.26	679.785	11258.7	909.754
Zosma4g01900	219.656	137.43	249.222	154.865	308.199	198.019
Zosma4g01910	3585.36	1317.48	3458.3	1544.15	3888.89	2419.22
Zosma4g01920	2433.22	938.238	1948.47	1101.16	1977.86	1700.7
Zosma4g01940	12.7542	204.696	31.7192	300.726	25.9326	71.2867
Zosma4g01950	31.177	161.785	49.8445	100.842	37.9014	126.732
Zosma4g01960	892.796	728.903	886.326	1249.72	769	1091.93
Zosma4g01970	1044.43	355.464	910.795	533.024	1029.32	816.968
Zosma4g01980	246.582	59.1473	228.378	80.1336	224.416	181.046
Zosma4g01990	483.244	338.067	462.194	398.867	509.675	262.516
Zosma4g02000	43.9312	26.0944	7.25011	18.9079	31.917	39.6037
Zosma4g02010	0	110.756	0.906264	3.60151	0.997406	0
Zosma4g02020	770.923	456.362	725.011	1242.52	951.526	923.332
Zosma4g02030	1309.43	284.719	953.389	666.28	1686.61	1641.86
Zosma4g02050	262.17	56.8278	247.41	219.692	424.895	168.599
Zosma4g02060	4.25141	242.968	6.34385	53.1223	1.99481	1.13153
Zosma4g02070	10330.9	2339.22	8672.04	3529.48	10738.1	7189.77
Zosma4g02080	303.267	160.046	406.006	176.474	195.492	333.803
Zosma4g02090	9.91996	51.029	6.34385	30.6128	6.98184	9.05228
Zosma4g02100	65.1883	247.027	49.8445	131.455	24.9352	30.5514
Zosma4g02110	5.66855	1384.74	12.6877	2250.94	12.9663	13.5784
Zosma4g02160	15.5885	113.076	4.53132	42.3178	13.9637	6.78921
